ID,Audience,Surface,ElementType,CurrentText,Source,UiEditable,Flag,Notes
PUB-NAV-001,PUBLIC,Every public page (header brand),body,Anyaparallax,"`app/components/SiteHeader.tsx:37` (`site.name`, `app/data/site.ts:54`)",no,KEEP,Wordmark half one; shared with the footer brand line and the operator-area brand.
PUB-NAV-002,PUBLIC,Every public page (header brand),body,Photography,"`app/components/SiteHeader.tsx:38` (`site.secondary`, `app/data/site.ts:55`)",no,KEEP,Wordmark half two.
PUB-NAV-003,PUBLIC,Every public page (header brand),accessibility label,Anyaparallax Photography — home,`app/components/SiteHeader.tsx:36`,no,KEEP,Accessible name of the brand link.
PUB-NAV-004,PUBLIC,Every public page (mobile nav toggle),button,Menu,`app/components/SiteHeader.tsx:49`,no,KEEP,Shown while the mobile menu is closed.
PUB-NAV-005,PUBLIC,Every public page (mobile nav toggle),button,Close,`app/components/SiteHeader.tsx:49`,no,KEEP,Shown while the mobile menu is open.
PUB-NAV-006,PUBLIC,Every public page (primary nav),accessibility label,Primary,`app/components/SiteHeader.tsx:56`,no,KEEP,Accessible name of the primary navigation landmark.
PUB-NAV-007,PUBLIC,"Header navigation, footer Explore list and the 404 suggestion list",navigation,Home,`app/data/site.ts:82` (`primaryNav`),no,KEEP,One source constant renders on three surfaces; a rewrite changes all three.
PUB-NAV-008,PUBLIC,"Header navigation, footer Explore list and the 404 suggestion list",navigation,Galleries,`app/data/site.ts:83` (`primaryNav`),no,KEEP,As above.
PUB-NAV-009,PUBLIC,"Header navigation, footer Explore list and the 404 suggestion list",navigation,Prints,`app/data/site.ts:84` (`primaryNav`),no,KEEP,As above.
PUB-NAV-010,PUBLIC,"Header navigation, footer Explore list and the 404 suggestion list",navigation,About,`app/data/site.ts:85` (`primaryNav`),no,KEEP,As above.
PUB-NAV-011,PUBLIC,"Header navigation, footer Explore list and the 404 suggestion list",navigation,Contact,`app/data/site.ts:86` (`primaryNav`),no,KEEP,As above.
PUB-NAV-012,PUBLIC,Every public page (skip link),accessibility label,Skip to content,`app/layouts/public.tsx:35`,no,KEEP,"Keyboard-only skip link, visible on focus."
PUB-FOOTER-001,PUBLIC,Every public page (footer brand),footer,Anyaparallax Photography,`app/components/SiteFooter.tsx:40` (`site.name` + `site.secondary`),no,KEEP,Composed from the two brand constants.
PUB-FOOTER-002,PUBLIC,Every public page (footer note),footer,"Provisional placeholder content: wording, imagery and links are not approved final content.","`app/components/SiteFooter.tsx:42` (`site.provisionalNote`, `app/data/site.ts:71`)",no,REVIEW,Gated by `SHOW_DEVELOPMENT_NOTICES`. Development/preview wording; the operator must decide whether the switch stays on at launch.
PUB-FOOTER-003,PUBLIC,Every public page (footer nav),accessibility label,Footer,`app/components/SiteFooter.tsx:45`,no,KEEP,Accessible name of the footer navigation landmark.
PUB-FOOTER-004,PUBLIC,Every public page (footer nav),heading,Explore,`app/components/SiteFooter.tsx:46`,no,KEEP,Heading above the repeated primary links (see `PUB-NAV-007`).
PUB-FOOTER-005,PUBLIC,Every public page (footer social),accessibility label,Social profiles,`app/components/SiteFooter.tsx:57`,no,KEEP,Rendered only when at least one social URL is configured.
PUB-FOOTER-006,PUBLIC,Every public page (footer social),heading,Follow,`app/components/SiteFooter.tsx:58`,no,KEEP,Rendered only when at least one social URL is configured.
PUB-FOOTER-007,PUBLIC,Every public page (footer social link),accessibility label,(opens in a new tab),`app/components/SiteFooter.tsx:64`,no,KEEP,Leading space is intentional; read after each social link name.
PUB-FOOTER-008,PUBLIC,Public footer Follow link; also the `/admin/settings` social field label,navigation,Instagram,`app/data/site-settings.ts:50` (`SOCIAL_NETWORKS`),no,KEEP,The label is source copy; the URL that makes the link appear is the `social.instagram` setting.
PUB-FOOTER-009,PUBLIC,Public footer Follow link; also the `/admin/settings` social field label,navigation,Facebook,`app/data/site-settings.ts:51` (`SOCIAL_NETWORKS`),no,KEEP,URL comes from the `social.facebook` setting.
PUB-FOOTER-010,PUBLIC,Public footer Follow link; also the `/admin/settings` social field label,navigation,TikTok,`app/data/site-settings.ts:52` (`SOCIAL_NETWORKS`),no,KEEP,URL comes from the `social.tiktok` setting.
PUB-FOOTER-011,PUBLIC,Public footer Follow link; also the `/admin/settings` social field label,navigation,Threads,`app/data/site-settings.ts:53` (`SOCIAL_NETWORKS`),no,KEEP,URL comes from the `social.threads` setting.
PUB-FOOTER-012,PUBLIC,Public footer Follow link; also the `/admin/settings` social field label,navigation,Bluesky,`app/data/site-settings.ts:54` (`SOCIAL_NETWORKS`),no,KEEP,URL comes from the `social.bluesky` setting.
PUB-FOOTER-013,PUBLIC,Public footer Follow link; also the `/admin/settings` social field label,navigation,X,`app/data/site-settings.ts:55` (`SOCIAL_NETWORKS`),no,KEEP,URL comes from the `social.x` setting.
PUB-FOOTER-014,PUBLIC,Public footer Follow link; also the `/admin/settings` social field label,navigation,YouTube,`app/data/site-settings.ts:56` (`SOCIAL_NETWORKS`),no,KEEP,URL comes from the `social.youtube` setting.
PUB-FOOTER-015,PUBLIC,Every public page (footer meta),footer,© {year} Anyaparallax Photography,`app/components/SiteFooter.tsx:74`,no,KEEP,`{year}` is the current calendar year at render time.
PUB-FOOTER-016,PUBLIC,Every public page (footer meta),footer,Privacy,`app/components/SiteFooter.tsx:77`,no,KEEP,Link label only; the destination page's wording is `PUB-PRIVACY-*`.
PUB-FOOTER-017,PUBLIC,Every public page (footer credit),footer,Built by PCGSoft © 2026,`app/components/SiteFooter.tsx:80`-`84`,no,REVIEW,Hard-coded year and an outbound credit link; operator decides whether to keep the credit.
